coverage_status,title,title_key,source_type,source_file,suggested_action
exact_match,3月のライオン,3月のライオン,seo_article_card,src/app/adult-manga/page.jsx,
exact_match,BLUE GIANT,bluegiant,seo_article_card,src/app/adult-manga/page.jsx,
exact_match,ヴィンランド・サガ,ヴィンランドサガ,seo_article_card,src/app/adult-manga/page.jsx,
exact_match,きのう何食べた?,きのう何食べた,seo_article_card,src/app/adult-manga/page.jsx,
exact_match,ザ・ファブル,ザファブル,seo_article_card,src/app/adult-manga/page.jsx,
exact_match,チ。地球の運動について,チ地球の運動について,seo_article_card,src/app/adult-manga/page.jsx,
exact_match,宇宙兄弟,宇宙兄弟,seo_article_card,src/app/adult-manga/page.jsx,
missing_or_variant,重版出来!,重版出来,seo_article_card,src/app/adult-manga/page.jsx,DB未登録か表記ゆれの可能性を確認
exact_match,昭和元禄落語心中,昭和元禄落語心中,seo_article_card,src/app/adult-manga/page.jsx,
missing_or_variant,働きマン,働きマン,seo_article_card,src/app/adult-manga/page.jsx,DB未登録か表記ゆれの可能性を確認
exact_match,HUNTER×HUNTER,hunter×hunter,seo_article_card,src/app/battle-manga/page.jsx,
exact_match,ガチアクタ,ガチアクタ,seo_article_card,src/app/battle-manga/page.jsx,
exact_match,ダンダダン,ダンダダン,seo_article_card,src/app/battle-manga/page.jsx,
exact_match,チェンソーマン,チェンソマン,seo_article_card,src/app/battle-manga/page.jsx,
exact_match,マリッジトキシン,マリッジトキシン,seo_article_card,src/app/battle-manga/page.jsx,
exact_match,怪獣8号,怪獣8号,seo_article_card,src/app/battle-manga/page.jsx,
exact_match,呪術廻戦,呪術廻戦,seo_article_card,src/app/battle-manga/page.jsx,
exact_match,桃源暗鬼,桃源暗鬼,seo_article_card,src/app/battle-manga/page.jsx,
exact_match,僕のヒーローアカデミア,僕のヒロアカデミア,seo_article_card,src/app/battle-manga/page.jsx,
exact_match,幼稚園WARS,幼稚園wars,seo_article_card,src/app/battle-manga/page.jsx,
exact_match,SPY×FAMILY,spy×family,seo_article_card,src/app/beginner-manga/page.jsx,
exact_match,ダンジョン飯,ダンジョン飯,seo_article_card,src/app/beginner-manga/page.jsx,
exact_match,ハイキュー!!,ハイキュ,seo_article_card,src/app/beginner-manga/page.jsx,
exact_match,よつばと!,よつばと,seo_article_card,src/app/beginner-manga/page.jsx,
exact_match,暗殺教室,暗殺教室,seo_article_card,src/app/beginner-manga/page.jsx,
exact_match,宇宙兄弟,宇宙兄弟,seo_article_card,src/app/beginner-manga/page.jsx,
exact_match,鬼滅の刃,鬼滅の刃,seo_article_card,src/app/beginner-manga/page.jsx,
exact_match,君に届け,君に届け,seo_article_card,src/app/beginner-manga/page.jsx,
exact_match,鋼の錬金術師,鋼の錬金術師,seo_article_card,src/app/beginner-manga/page.jsx,
exact_match,僕のヒーローアカデミア,僕のヒロアカデミア,seo_article_card,src/app/beginner-manga/page.jsx,
