priority,title_key,match_count,id,title_ja,title_en,author,year,volumes,status,demographic,source_file,source_index
high,プルトウ,3,pluto_x,プルートウ,Pluto,浦沢直樹/手塚治虫,2003,8,completed,seinen,src/data/coreDB_extra.js,187
high,プルトウ,3,pluto,プルートウ,Pluto,浦沢直樹/手塚治虫,2003,8,completed,seinen,src/data/coreDB.js,88
high,プルトウ,3,pluto_2,プルートウ,Pluto (Urasawa),浦沢直樹/手塚治虫,2003,8,completed,seinen,src/data/coreDB.js,202
high,るろうに剣心,2,rurouni_kenshin,るろうに剣心,Rurouni Kenshin,和月伸宏,1994,28,completed,shonen,src/data/coreDB.js,15
high,るろうに剣心,2,rurouni_kenshin2,るろうに剣心,Rurouni Kenshin,和月伸宏,1994,28,completed,shonen,src/data/coreDB.js,94
high,サムライ8八丸伝,2,samurai_8_extra,サムライ8 八丸伝,Samurai 8,岸本斉史/大久保彰,2019,5,completed,shonen,src/data/coreDB_extra.js,19
high,サムライ8八丸伝,2,samurai_8,サムライ8 八丸伝,Samurai 8,岸本斉史/大久保彰,2019,5,completed,shonen,src/data/coreDB.js,16
high,青の祓魔師,2,blue_exorcist_x,青の祓魔師,Blue Exorcist,加藤和恵,2009,31,ongoing,shonen,src/data/coreDB_extra.js,20
high,青の祓魔師,2,blue_exorcist,青の祓魔師,Blue Exorcist,加藤和恵,2009,31,ongoing,shonen,src/data/coreDB.js,24
high,ソウルイタ,2,soul_eater_x,ソウルイーター,Soul Eater,大久保篤,2003,25,completed,shonen,src/data/coreDB_extra.js,21
high,ソウルイタ,2,soul_eater,ソウルイーター,Soul Eater,大久保篤,2003,25,completed,shonen,src/data/coreDB.js,25
high,ブルロック,2,blue_lock,ブルーロック,Blue Lock,金城宗幸/ノ村優介,2018,30,ongoing,shonen,src/data/coreDB.js,26
high,ブルロック,2,blue_lock2,ブルーロック,Blue Lock,金城宗幸/ノ村優介,2018,30,ongoing,shonen,src/data/coreDB.js,109
high,キングダム,2,kingdom_x,キングダム,Kingdom,原泰久,2006,72,ongoing,seinen,src/data/coreDB_extra.js,22
high,キングダム,2,kingdom,キングダム,Kingdom,原泰久,2006,72,ongoing,seinen,src/data/coreDB.js,27
high,シグルイ,2,samurai_x,シグルイ,Shigurui,山口貴由/南條範夫,2003,15,completed,seinen,src/data/coreDB.js,28
high,シグルイ,2,shigurui,シグルイ,Shigurui,山口貴由/南條範夫,2003,15,completed,seinen,src/data/coreDB.js,97
